E_type,Voltage (V),Specific surface area (m2/g),IDIG_ratio,N-doped (at%),O-doped (at%),Current density (A/g),Capacitance (F/g)
2,1,543.68,0.89,1.2,8.5,5,198
2,1,7.91,0.68,0.6,1.9,5,3.1
2,1,543.68,0.89,1.2,8.5,10,192
2,1,7.91,0.68,0.6,1.9,10,2.4
2,1,543.68,0.89,1.2,8.5,15,185
2,1,7.91,0.68,0.6,1.9,15,1.6
2,1,543.68,0.89,1.2,8.5,20,180
2,1,7.91,0.68,0.6,1.9,20,3
2,1,543.68,0.89,1.2,8.5,25,176
2,1,7.91,0.68,0.6,1.9,25,2.3
2,1,543.68,0.89,1.2,8.5,30,172
2,1,7.91,0.68,0.6,1.9,30,2.8
2,1,543.68,0.89,1.2,8.5,35,170
2,1,7.91,0.68,0.6,1.9,35,2.9
2,1,543.68,0.89,1.2,8.5,40,168
2,1,7.91,0.68,0.6,1.9,40,2.6
3,1,477,1.01,0,0,1,80
3,1,2753,1.12,0,0,1,307
3,0.9,312,0.78,1.2,5.6,0.1,125
3,0.9,1588,0.84,5.3,9.3,0.1,240.4
3,0.9,2665,0.81,1.1,10.9,0.1,279.1
